code,rating
33004170001P6,4
50008013003P5,4
33003017082P2,5
40030016004P8,4
21014000039P9,4
51003015001P3,4
52006018001P5,5
32011016005P4,4
14001012158P2,4
32003013007P8,5
33009015087P2,5
42024013005P3,3
40015017023P0,4
40015017015P8,5
10001018017P9,4
33087016005P8,4
33021015012P5,3
41005015004P7,4
42014018001P6,5
33117012003P0,3
41016017001P6,5
33054010005P3,5
40022013005P5,4
25004018072P0,5
33002010145P8,7
33002010228P0,5
33002037020P1,7
40006018013P0,5
40006018178P9,4
40006018181P0,4
26006014002P8,4
15013014004P2,3
31040012005P0,4
52010015105P9,4
26002019001P6,4
29002001002P5,3
41012011002P7,4
32045018001P0,4
25009010001P1,3
23005017002P3,4
25017012001P7,3
15024016001P1,4
31005012158P6,4
31088015002P0,3
24009016026P8,2
32007019009P6,3
15001016076P9,4
15001016088P7,4
40001016057P5,3
31001017176P9,3
41001010157P6,3
33001014040P5,4
33004013069P2*,3
28048016001P7,4
32021011004P0,3
31021018156P1,5
31063012001P8,5
33021015009P4,3
31027016003P9,4
33002010229P7,5
31030017004P2,3
33045011001P2,4
31010016025P6,5
12002011009P8,5
52002012008P4,3
42005019029P2,6
40002012005P1,5
40004015001P9,6
31033016002P9,4
31004016001P3,5
31004016017P7,4
28001010089P3,4
42015014010P1,5
52001016056P2,5
32005016015P3,5
32001010068P4,7
32001010009P8,7
32001010054P3,7
32007019006P7,5
15001016032P1,7
24001015057P0,4
25001019079P6,5
25001019045P4,7
25001019037P1,5
40001016066P4,4
40001016006P1,5
42001013068P2,7
42001013010P4,7
31001017016P1,6
23001011170P8,5
41001010074P3,4
33001014012P1,6
32006012031P5,4
32006012006P0,6
32002017028P9,5
53001010045P7,5
53001010007P8,6
33004064080P3,6
33004064026P9,6
33004137046P4,5
33004153023P5,5
33003017033P1,6
33003017024P2,7
32011016040P4,4
33009015034P6,5
33009015071P9,5
42046017003P7,4
31021018016P5,4
25004018013P4,4
33002010188P9,5
33002010024P6,6
33002010156P0,5
33002010021P7,6
33002037022P4,3
33002029006P3,6
33002029005P7,6
40001016175P8*,4
40006018037P6,4
33045011002P9,3
15001016077P5,2
33002010245P2,4
31010016004P9,7
42004012008P9,5
33287015001P7*,5
33147019001P2*,5
22003010007P0,4
40002012175P4,4
40004015078P1,4
40004015071P7,4
40005011018P5,3
33144010007P5,5
22001018006P0,6
22001018082P9,5
22001018007P7,7
30001013049P4,4
30001013002P8,5
31003010096P1,5
31003010042P9,4
52001016005P9,5
32001010006P9,7
32001010007P5,7
32001010171P0,4
15010015004P3,4
15001016171P1,4
15001016044P0,5
25001019009P8,5
25001019097P4,4
42003016040P3,5
